F,P,M,mode,success,max_residual
0.5,0.1,0.2098604960007132,CA,True,6.8376224682253905e-09
0.5,0.17777777777777778,0.3747449540297288,CA,True,4.033037792616767e-11
0.5,0.25555555555555554,0.5425983575848801,CA,True,1.0300355013370677e-10
0.5,0.33333333333333337,4.71201981605923,BCB,True,1.3732703862956441e-10
0.5,0.4111111111111111,4.703986770607838,BCB,True,4.63397653582831e-11
0.5,0.48888888888888893,1.0823273088329788,CBA,True,2.2785995312801788e-11
0.5,0.5666666666666667,4.662769427190324,BCB,True,4.511928608508242e-10
0.5,0.6444444444444445,1.4394319475634163,CBA,True,1.2957934725221776e-10
0.5,0.7222222222222222,1.6138349453346246,CBA,True,5.788913792770245e-11
0.5,0.8,4.498646761606145,BCB,True,1.4267875769746752e-10
0.6111111111111112,0.1,1.8824460189765482,BCB,True,1.4404255566091706e-11
0.6111111111111112,0.17777777777777778,1.8767069513824033,BCB,True,3.4062530573919503e-10
0.6111111111111112,0.25555555555555554,1.8490227059483668,BCB,True,2.4175106361212784e-13
0.6111111111111112,0.33333333333333337,0.6332840371373728,CA,True,1.0939250061348105e-09
0.6111111111111112,0.4111111111111111,0.7825599472126967,CA,True,1.0779684922468391e-09
0.6111111111111112,0.48888888888888893,0.9328190826525193,CA,True,1.0545179174314967e-09
0.6111111111111112,0.5666666666666667,1.084284684773187,CA,True,4.03952565841692e-12
0.6111111111111112,0.6444444444444445,1.2375499639957757,CBA,True,1.2435874552352288e-10
0.6111111111111112,0.7222222222222222,1.4052190596297436,CBA,True,8.473046708701304e-10
0.6111111111111112,0.8,nan,CA,False,1.7862983314742564e-10
0.7222222222222222,0.1,1.361127149292776,BCB,True,1.4867618247649261e-10
0.7222222222222222,0.17777777777777778,0.2515519467183453,CA,True,6.1847194032793595e-12
0.7222222222222222,0.25555555555555554,0.3645315268569711,CA,True,5.836586769447649e-11
0.7222222222222222,0.33333333333333337,0.48106966608560303,CA,True,9.0741636427083e-11
0.7222222222222222,0.4111111111111111,0.6030449408579531,CA,True,8.935407969090647e-11
0.7222222222222222,0.48888888888888893,0.7334631532577874,CA,True,4.264588682190151e-12
0.7222222222222222,0.5666666666666667,0.8780389815307582,CA,True,3.4244829194562953e-12
0.7222222222222222,0.6444444444444445,1.0515248840465055,CA,True,5.33766364441135e-11
0.7222222222222222,0.7222222222222222,nan,CA,False,0.0013317868633627716
0.7222222222222222,0.8,nan,CBA,False,0.03716450544281458
0.8333333333333333,0.1,1.1492176658294901,BCB,True,1.138883432005855e-10
0.8333333333333333,0.17777777777777778,nan,CA,False,4.6491133165460496e-10
0.8333333333333333,0.25555555555555554,nan,AC,False,1.1263198707034405e-10
0.8333333333333333,0.33333333333333337,nan,AC,False,2.4580815161101555e-10
0.8333333333333333,0.4111111111111111,nan,CA,False,2.6930790930634885e-11
0.8333333333333333,0.48888888888888893,nan,CA,False,1.2526446824256965e-09
0.8333333333333333,0.5666666666666667,nan,CA,False,1.0660139437845828e-11
0.8333333333333333,0.6444444444444445,nan,CA,False,6.222738990757648e-11
0.8333333333333333,0.7222222222222222,1.0918207803173858,CA,True,2.43750630790629e-10
0.8333333333333333,0.8,nan,CA,False,0.00230584627351349
0.9444444444444444,0.1,nan,AC,False,1.6234957822547358e-11
0.9444444444444444,0.17777777777777778,nan,AC,False,7.32134297631859e-10
0.9444444444444444,0.25555555555555554,nan,AC,False,2.870775839269868e-11
0.9444444444444444,0.33333333333333337,nan,AC,False,7.22259529961633e-10
0.9444444444444444,0.4111111111111111,nan,CA,False,8.060567213696856e-10
0.9444444444444444,0.48888888888888893,nan,CA,False,5.357597698818495e-11
0.9444444444444444,0.5666666666666667,nan,CA,False,1.217620448912271e-11
0.9444444444444444,0.6444444444444445,nan,AC,False,2.716820657333585e-10
0.9444444444444444,0.7222222222222222,1.0339074071155865,CA,True,3.20410885323863e-11
0.9444444444444444,0.8,1.0304939406688995,CA,True,2.5005508774711416e-10
1.0555555555555556,0.1,0.9683374865405749,AC,True,2.0559703939326823e-10
1.0555555555555556,0.17777777777777778,0.9661482246617678,AC,True,2.334331616893337e-10
1.0555555555555556,0.25555555555555554,0.963532570274306,AC,True,2.7251806367090126e-10
1.0555555555555556,0.33333333333333337,0.9604750449925694,AC,True,3.853140029264068e-12
1.0555555555555556,0.4111111111111111,0.9569564545347397,AC,True,4.092004513012171e-12
1.0555555555555556,0.48888888888888893,0.9529532842936831,AC,True,4.496625294336809e-12
1.0555555555555556,0.5666666666666667,0.9484368988131116,AC,True,5.1189608107904405e-12
1.0555555555555556,0.6444444444444445,0.9433724747632973,AC,True,5.332512209577089e-12
1.0555555555555556,0.7222222222222222,0.9377175648694016,AC,True,7.252698441817529e-12
1.0555555555555556,0.8,0.9314201365587492,AC,True,8.944212037675925e-11
1.1666666666666665,0.1,0.9131542413898522,AC,True,1.1177975212106617e-10
1.1666666666666665,0.17777777777777778,0.8962705728849241,AC,True,1.5500933869816436e-12
1.1666666666666665,0.25555555555555554,0.8745296564138011,AC,True,4.63894265882725e-12
1.1666666666666665,0.33333333333333337,0.8460823294599908,AC,True,3.939681914033599e-11
1.1666666666666665,0.4111111111111111,0.8069868571407073,AC,True,3.6544881920966277e-10
1.1666666666666665,0.48888888888888893,0.7451340920458384,AC,True,7.735254103913292e-11
1.1666666666666665,0.5666666666666667,nan,CA,False,3.105837809158629e-11
1.1666666666666665,0.6444444444444445,nan,CA,False,3.6356195831643845e-11
1.1666666666666665,0.7222222222222222,nan,CBA,False,2.09321449062827e-12
1.1666666666666665,0.8,nan,CA,False,1.8561179260245808e-09
1.2777777777777777,0.1,0.8639018975596121,AC,True,3.065930842538478e-11
1.2777777777777777,0.17777777777777778,0.8194208362721449,AC,True,8.775469240163147e-11
1.2777777777777777,0.25555555555555554,0.7473955914175784,AC,True,1.5899174598404953e-10
1.2777777777777777,0.33333333333333337,nan,CA,False,4.2552628087833e-12
1.2777777777777777,0.4111111111111111,nan,CA,False,1.4431953132554298e-09
1.2777777777777777,0.48888888888888893,nan,CA,False,1.8473644836092262e-10
1.2777777777777777,0.5666666666666667,nan,CA,False,4.243047579954862e-11
1.2777777777777777,0.6444444444444445,nan,CA,False,5.936775515635873e-10
1.2777777777777777,0.7222222222222222,nan,CBA,False,7.054357098468245e-13
1.2777777777777777,0.8,nan,CBA,False,3.803624082365786e-11
1.3888888888888888,0.1,0.8168433544328959,AC,True,1.9898815928343083e-10
1.3888888888888888,0.17777777777777778,0.7217933521519635,AC,True,3.183181496169141e-11
1.3888888888888888,0.25555555555555554,nan,CA,False,5.417716275601947e-11
1.3888888888888888,0.33333333333333337,nan,BCB,False,3.1673663691833553e-11
1.3888888888888888,0.4111111111111111,nan,CA,False,4.631605654559223e-10
1.3888888888888888,0.48888888888888893,nan,CA,False,2.4647749119477425e-10
1.3888888888888888,0.5666666666666667,nan,CA,False,4.019734545224196e-11
1.3888888888888888,0.6444444444444445,nan,CA,False,1.3035007795370035e-10
1.3888888888888888,0.7222222222222222,nan,CA,False,0.003488733490638829
1.3888888888888888,0.8,nan,CBA,False,9.609628925932867e-10
1.5,0.1,0.7689757728922766,AC,True,2.790291608878448e-10
1.5,0.17777777777777778,nan,CA,False,1.8475801444317597e-10
1.5,0.25555555555555554,nan,CA,False,3.329275743979565e-11
1.5,0.33333333333333337,nan,BCB,False,5.149708437457434e-11
1.5,0.4111111111111111,nan,CA,False,8.741989354632551e-10
1.5,0.48888888888888893,nan,CA,False,4.691854127436557e-10
1.5,0.5666666666666667,nan,CA,False,6.632724924848787e-11
1.5,0.6444444444444445,nan,CA,False,1.8720858196985546e-11
1.5,0.7222222222222222,nan,CA,False,0.005599354605568152
1.5,0.8,nan,CBA,False,4.1850067855619955e-10
